category,revenue,num_orders
health_beauty,1233131.7199999709,8647
watches_gifts,1166176.9800000032,5495
bed_bath_table,1023434.7600000692,9272
sports_leisure,954852.5500000407,7530
computers_accessories,888724.6100000349,6530
furniture_decor,711927.6900000424,6307
housewares,615628.6900000208,5743
cool_stuff,610204.0999999997,3559
auto,578966.6500000089,3810
toys,471286.4800000059,3804
